user_id,app_version,platform,session_duration,number_of_sessions,country,user_feedback
234,1.3,Android,134,11,Spain,2
235,1.3,Android,58,15,Mexico,3
236,1.3,Ios,44,6,Spain,2
237,1.1,Ios,173,3,Germany,1
238,1.1,Android,160,17,Italy,2
239,1.2,Android,173,5,France,1
240,1.3,Ios,61,12,USA,1
241,1.1,Android,47,18,Spain,2
242,1.2,Ios,149,14,Germany,3
243,1.3,Android,80,11,Mexico,5
244,1.0,Ios,118,9,Mexico,5
245,1.2,Android,164,2,USA,1
246,1.1,Ios,147,12,UK,1
247,1.0,Android,20,3,Spain,3
248,1.0,Ios,146,3,Italy,4
249,1.0,Ios,47,1,Canada,2
250,1.2,Android,49,8,Mexico,1
251,1.1,Android,14,8,Italy,5
252,1.0,Ios,143,11,Italy,3
253,1.3,Android,159,9,France,2
254,1.0,Ios,1,5,Italy,3
255,1.0,Android,117,14,Italy,2
256,1.2,Ios,54,3,France,2
257,1.2,Ios,118,5,Mexico,1
258,1.1,Ios,3,5,Italy,3
259,1.3,Ios,144,19,UK,3
260,1.2,Ios,12,14,UK,5
261,1.0,Ios,74,4,Germany,5
262,1.1,Android,16,13,France,1
263,1.0,Android,102,10,Germany,1
264,1.0,Android,152,18,France,4
265,1.2,Ios,156,8,Spain,5
266,1.1,Ios,117,8,Spain,2
267,1.3,Ios,8,7,Italy,3
268,1.3,Ios,122,8,Canada,1
269,1.2,Android,92,14,Spain,3
270,1.2,Android,164,19,Canada,3
271,1.1,Ios,90,6,Spain,4
272,1.3,Android,136,1,USA,5
273,1.3,Android,60,15,Spain,1
274,1.3,Ios,178,1,Germany,3
275,1.0,Android,28,17,Mexico,1
276,1.3,Ios,101,1,Italy,2
277,1.0,Android,41,15,Germany,4
278,1.1,Ios,155,2,Mexico,2
279,1.0,Ios,145,14,UK,1
280,1.1,Ios,161,8,Germany,1
281,1.3,Ios,157,8,UK,5
282,1.3,Android,141,19,Canada,3
283,1.1,Ios,46,7,Canada,3
284,1.2,Ios,35,19,USA,2
285,1.1,Ios,134,6,Spain,4
286,1.2,Android,82,6,Germany,3
287,1.0,Ios,115,3,UK,5
288,1.0,Android,47,7,Mexico,2
289,1.0,Ios,153,19,Canada,2
290,1.3,Android,10,8,Spain,5
291,1.0,Android,56,10,Canada,4
292,1.2,Ios,30,15,Mexico,5
293,1.0,Android,109,15,Spain,4
294,1.1,Ios,5,1,Spain,5
295,1.1,Ios,119,7,UK,5
296,1.3,Ios,33,4,UK,1
297,1.1,Android,118,6,Germany,2
298,1.2,Android,65,1,Germany,5
299,1.0,Ios,146,5,France,5
300,1.3,Ios,177,1,Italy,3
